"flokkur","ar","manadarlaun","tegund"
"Flokkur 1 grunnlaun","2024",470927,"Leiðsögumaður"
"Flokkur 1 grunnlaun","2025 apríl",500066.6614,"Leiðsögumaður"
"Flokkur 1 grunnlaun","2026",526322.7,"Leiðsögumaður"
"Flokkur 1 grunnlaun","2027",551877.431,"Leiðsögumaður"
"Flokkur 2 grunnlaun","2024",470927,"Leiðsögumaður"
"Flokkur 2 grunnlaun","2025 apríl",500066.6614,"Leiðsögumaður"
"Flokkur 2 grunnlaun","2026",526322.7,"Leiðsögumaður"
"Flokkur 2 grunnlaun","2027",551877.431,"Leiðsögumaður"
"Flokkur 2 eftir 1 ár","2024",478355,"Leiðsögumaður"
"Flokkur 2 eftir 1 ár","2025 apríl",505017.209,"Leiðsögumaður"
"Flokkur 2 eftir 1 ár","2026",528767.2,"Leiðsögumaður"
"Flokkur 2 eftir 1 ár","2027",554301.409,"Leiðsögumaður"
"Flokkur 3 grunnlaun","2024",476225,"Leiðsögumaður"
"Flokkur 3 grunnlaun","2025 apríl",504183.4008,"Leiðsögumaður"
"Flokkur 3 grunnlaun","2026",529155.4,"Leiðsögumaður"
"Flokkur 3 grunnlaun","2027",554844.541,"Leiðsögumaður"
"Flokkur 3 eftir 1 ár","2024",490364,"Leiðsögumaður"
"Flokkur 3 eftir 1 ár","2025 apríl",517095.8612,"Leiðsögumaður"
"Flokkur 3 eftir 1 ár","2026",540845.9,"Leiðsögumaður"
"Flokkur 3 eftir 1 ár","2027",564871.3612,"Leiðsögumaður"
"Flokkur 3 eftir 3 ár","2024",506220,"Leiðsögumaður"
"Flokkur 3 eftir 3 ár","2025 apríl",533043.826,"Leiðsögumaður"
"Flokkur 3 eftir 3 ár","2026",556793.8,"Leiðsögumaður"
"Flokkur 3 eftir 3 ár","2027",580819.326,"Leiðsögumaður"
"Flokkur 3 eftir 5 ár","2024",509844,"Leiðsögumaður"
"Flokkur 3 eftir 5 ár","2025 apríl",536688.8452,"Leiðsögumaður"
"Flokkur 3 eftir 5 ár","2026",560438.8,"Leiðsögumaður"
"Flokkur 3 eftir 5 ár","2027",584464.3452,"Leiðsögumaður"
"Flokkur 4 grunnlaun","2024",482670,"Leiðsögumaður"
"Flokkur 4 grunnlaun","2025 apríl",509357.236,"Leiðsögumaður"
"Flokkur 4 grunnlaun","2026",533107.2,"Leiðsögumaður"
"Flokkur 4 grunnlaun","2027",557132.736,"Leiðsögumaður"
"Flokkur 4 eftir 1 ár","2024",503412,"Leiðsögumaður"
"Flokkur 4 eftir 1 ár","2025 apríl",530219.5396,"Leiðsögumaður"
"Flokkur 4 eftir 1 ár","2026",553969.5,"Leiðsögumaður"
"Flokkur 4 eftir 1 ár","2027",577995.0396,"Leiðsögumaður"
"Flokkur 4 eftir 3 ár","2024",519711,"Leiðsögumaður"
"Flokkur 4 eftir 3 ár","2025 apríl",546613.0738,"Leiðsögumaður"
"Flokkur 4 eftir 3 ár","2026",570363.1,"Leiðsögumaður"
"Flokkur 4 eftir 3 ár","2027",594388.5738,"Leiðsögumaður"
"Flokkur 4 eftir 5 ár","2024",524436,"Leiðsögumaður"
"Flokkur 4 eftir 5 ár","2025 apríl",552874.1788,"Leiðsögumaður"
"Flokkur 4 eftir 5 ár","2026",578124.2,"Leiðsögumaður"
"Flokkur 4 eftir 5 ár","2027",603667.0788,"Leiðsögumaður"
"Flokkur 1 grunnlaun","2024",706390.5,"Ökuleiðsögumaður"
"Flokkur 1 grunnlaun","2025 apríl",750099.9921,"Ökuleiðsögumaður"
"Flokkur 1 grunnlaun","2026",789484,"Ökuleiðsögumaður"
"Flokkur 1 grunnlaun","2027",827816.1465,"Ökuleiðsögumaður"
"Flokkur 2 grunnlaun","2024",706390.5,"Ökuleiðsögumaður"
"Flokkur 2 grunnlaun","2025 apríl",750099.9921,"Ökuleiðsögumaður"
"Flokkur 2 grunnlaun","2026",789484,"Ökuleiðsögumaður"
"Flokkur 2 grunnlaun","2027",827816.1465,"Ökuleiðsögumaður"
"Flokkur 2 eftir 1 ár","2024",717532.5,"Ökuleiðsögumaður"
"Flokkur 2 eftir 1 ár","2025 apríl",757525.8135,"Ökuleiðsögumaður"
"Flokkur 2 eftir 1 ár","2026",793150.8,"Ökuleiðsögumaður"
"Flokkur 2 eftir 1 ár","2027",831452.1135,"Ökuleiðsögumaður"
"Flokkur 3 grunnlaun","2024",714337.5,"Ökuleiðsögumaður"
"Flokkur 3 grunnlaun","2025 apríl",756275.1012,"Ökuleiðsögumaður"
"Flokkur 3 grunnlaun","2026",793733.1,"Ökuleiðsögumaður"
"Flokkur 3 grunnlaun","2027",832266.8115,"Ökuleiðsögumaður"
"Flokkur 3 eftir 1 ár","2024",735546,"Ökuleiðsögumaður"
"Flokkur 3 eftir 1 ár","2025 apríl",775643.7918,"Ökuleiðsögumaður"
"Flokkur 3 eftir 1 ár","2026",811268.8,"Ökuleiðsögumaður"
"Flokkur 3 eftir 1 ár","2027",847307.0418,"Ökuleiðsögumaður"
"Flokkur 3 eftir 3 ár","2024",759330,"Ökuleiðsögumaður"
"Flokkur 3 eftir 3 ár","2025 apríl",799565.739,"Ökuleiðsögumaður"
"Flokkur 3 eftir 3 ár","2026",835190.7,"Ökuleiðsögumaður"
"Flokkur 3 eftir 3 ár","2027",871228.989,"Ökuleiðsögumaður"
"Flokkur 3 eftir 5 ár","2024",764766,"Ökuleiðsögumaður"
"Flokkur 3 eftir 5 ár","2025 apríl",805033.2678,"Ökuleiðsögumaður"
"Flokkur 3 eftir 5 ár","2026",840658.3,"Ökuleiðsögumaður"
"Flokkur 3 eftir 5 ár","2027",876696.5178,"Ökuleiðsögumaður"
"Flokkur 4 grunnlaun","2024",724005,"Ökuleiðsögumaður"
"Flokkur 4 grunnlaun","2025 apríl",764035.854,"Ökuleiðsögumaður"
"Flokkur 4 grunnlaun","2026",799660.9,"Ökuleiðsögumaður"
"Flokkur 4 grunnlaun","2027",835699.104,"Ökuleiðsögumaður"
"Flokkur 4 eftir 1 ár","2024",755118,"Ökuleiðsögumaður"
"Flokkur 4 eftir 1 ár","2025 apríl",795329.3094,"Ökuleiðsögumaður"
"Flokkur 4 eftir 1 ár","2026",830954.3,"Ökuleiðsögumaður"
"Flokkur 4 eftir 1 ár","2027",866992.5594,"Ökuleiðsögumaður"
"Flokkur 4 eftir 3 ár","2024",779566.5,"Ökuleiðsögumaður"
"Flokkur 4 eftir 3 ár","2025 apríl",819919.6107,"Ökuleiðsögumaður"
"Flokkur 4 eftir 3 ár","2026",855544.6,"Ökuleiðsögumaður"
"Flokkur 4 eftir 3 ár","2027",891582.8607,"Ökuleiðsögumaður"
"Flokkur 4 eftir 5 ár","2024",786654,"Ökuleiðsögumaður"
"Flokkur 4 eftir 5 ár","2025 apríl",829311.2682,"Ökuleiðsögumaður"
"Flokkur 4 eftir 5 ár","2026",867186.3,"Ökuleiðsögumaður"
"Flokkur 4 eftir 5 ár","2027",905500.6182,"Ökuleiðsögumaður"
